Outlook,Temperature,Humidity,Windy,Play
overcast,hot,high,false,yes
overcast,hot,high,true,yes
overcast,hot,normal,false,yes
overcast,hot,normal,true,yes
overcast,cool,high,true,yes
overcast,cool,high,false,yes
overcast,cool,normal,true,yes
overcast,cool,normal,false,yes
overcast,mild,high,true,yes
overcast,mild,high,false,yes
overcast,mild,normal,true,yes
overcast,mild,normal,false,yes
rainy,mild,high,false,yes
rainy,mild,normal,true,no
rainy,mild,normal,false,yes
rainy,mild,high,true,no
rainy,cool,high,false,yes
rainy,cool,high,true,no
rainy,cool,normal,false,yes
rainy,cool,normal,true,no
rainy,hot,normal,true,no
rainy,hot,high,true,no
rainy,hot,normal,false,yes
rainy,hot,high,false,no
sunny,hot,high,false,no
sunny,hot,high,true,no
sunny,hot,normal,false,yes
sunny,hot,normal,true,no
sunny,mild,high,false,no
sunny,mild,normal,false,yes
sunny,mild,normal,true,yes
sunny,mild,high,true,no
sunny,cool,high,false,yes
sunny,cool,high,true,no
sunny,cool,normal,true,no
sunny,cool,normal,false,yes